Tweet,Sentiment
https://t.co/mEb2czHDd3 Lawrence ODonnell on Donald Trump's Very Bad Year | The Last Word | MSNBC #BreakingNews https://t.co/zR2KZQNE5P,negative
#USA #CNN #NEWS broadcast by #EMET_NEWS_PRESS How Mar-a-Lago changed in a year - The suntanned snowbirds who compri https://t.co/F1x72jaJ6P,neutral
"The Most Dangerous People on the Internet in 2017: Donald Trump, Russian Hackers, and More https://t.co/WkLNy6ybOa https://t.co/EzhM7wxaOb",neutral
@BarbraStreisand @StephenKing @RealRonHoward @HamillHimself @tomhanks Donald Trump will only be in office for three https://t.co/2YhGYwJ7Tr,neutral
Don't You Love Irony?  The scoundrels that are trying to eliminate Obamacare (led by asshole in chief Donald) have https://t.co/o6YBNNWef9,negative
"Donald Trump doesn't know the difference between climate and weather
https://t.co/cnsYwlLOVk",neutral
"@piersmorgan Piers, are you aware that on the anniversary of Sandy Hook, your friend Donald was holding a celebrato https://t.co/UqVz4BEXcO",neutral
"As always James, you hit the nail squarely on the head. Best CHANGE America ever had was that Muslim Prick Imposter https://t.co/3tATL8Ct1T",positive
"@SayehHassan President Donald Trump, we thank you for supporting Iranian people. We want a free and democratic Iran https://t.co/M51K4dlBEJ",positive
"I dont care if you doubt me. 

(and I did read the article; if youre up in arms over Donald Trump Jr/BIB; you mus https://t.co/6EOEullgnJ",neutral
