Tweet,Sentiment
@MYasirNoorani @Shahidmasooddr @DrDanish5 @Beaming_Eyes @ShNoumi @AsadRattay @javaidShaikh  Good riddance the corr https://t.co/GLBffwzdEs,neutral
"@zeetweets_ @NadeemfParacha Kindly inform us who made MQM? Was it never supported by General Musharraf, Nawaz Shari https://t.co/5cPxCYe9Qp",neutral
A very Happy New Year to everyone in Pakistan and worldwide except Sharif mafia and Zardari league and their blind https://t.co/jAEi0tFwNg,positive
@HamidMirPAK Zardari knows when to shake hand and when to avoid.,neutral
@OfficialDGISPR They gave their lives so Nawaz and Zardari the losers can loot the country more and build businesse https://t.co/iy8PSY5NzF,neutral
"@BakhtawarBZ @Majid_Agha Want to see both zardari and Sharif family in adiala,",neutral
Our beleive on ture leader we see to imran khan  as prruption zardari in pakistan we know in beng in pakistan.,neutral
@BakhtawarBZ Ap ko bhi mubark ho b zardari happy new year,positive
"@BakhtawarBZ Ooh Allah please this new year of 2018 ,Save us from zardari/Nawaz Corrupt Mafiaa Ameen",negative
Happy New Year 2018 dedicated AsiFa Bhutto zardari,positive
