Tweet,Sentiment
"@ImranKhanPTI Well done Imran Khan, its a long way to go yet, our duas and love for you, keep up the excellent work https://t.co/aC61LsYAWG",positive
Ali Muhammad Khans Brilliant Talk About Imran Khan https://t.co/2ayvsDquHr https://t.co/XUZ3nF5wvr,neutral
@Khalid_Munir @_Hijab_Khan All of Above were Imran's disciples. What was their record after Imran?,neutral
"Welcome To The Year Of Naya Pakistan ! 

Prime Minister Imran Khan Welcomes You All To Islamic Republic Of Pakistan https://t.co/ZJvrXz0563",neutral
@Jemima_Khan The issue is not remarriage with Imran Khan or otherwise. In fact this loving nation is indebted to yo https://t.co/FHy5MbSvCA,neutral
Prediction About Imran Khan's Third Marriage !!! https://t.co/ID4BahhjmL https://t.co/rivfYnBWHL,neutral
@BBhuttoZardari Imran Khan Bags Most Votes In Person Of The Year Poll - Samaa TV https://t.co/bMeyycd0zJ,neutral
Ali Muhammad Khan's Brilliant Talk About Imran Khan - https://t.co/IsL7JZK3tW https://t.co/KScCJSZRoK,neutral
"Pic 1: nawaz sharif with his mother 
Pic 2: photoshop by PTI team in Bani Gala 

(This is imran khan and Jahangir T https://t.co/9BY5NWvbeT",neutral
@Iamfaisee I love imran khan but this is funny hahah,positive
2018 is the year when Imran Khan will become the Prime Minister of Pakistan and then Imran Khan will raise voice fo https://t.co/9PSslqeS58,neutral
"@PTIofficial Happy new year to khan sahb, dua h is 2018  m imran khan prime minister of pakistan hojae Ameen",positive
"Happy New Year 2018 
Welcome to the year of Elections,new change, new govt, new hope with new Prime Minister Imran https://t.co/Y3hu8d373o",positive
My tweet for the 2018 new year. Imran Khan https://t.co/G16EwUfemn,neutral
Thaks Sir Imran khan for every thing u did For us We love you Sir Stay strong And we will stay with youlike stone t https://t.co/CAOIGfKIBK,positive
@Ali_MuhammadPTI Inshallah now the prime minister of pakistan is imran khan only,neutral
"2018 
Pm imran khan inshaAllah
Happy new year
#ik
@UdarOfficial @Ali_MuhammadPTI @ImranKhanPTI @ShehryarAfridi1 https://t.co/uQrwdGCguf",neutral
"@SMQureshiPTI Inshallah 2018 will be the year of imran khan only, in whole pakistan the governance of imran khan only",negative
@Jemima_Khan Count me as one of those fives this time! Will you please remarry Imran Khan? ,neutral
Its 2018 And Jemima Khan Is Still Being Asked If She Will Re-Marry Imran Khan https://t.co/sXxiSKro5l https://t.co/FJ7NG8nApi,neutral
@Whistler_PTI Imran khan is great ,positive
@KBSJhullan Sakir saab  you have understood this but who will make understand APC of oppo parties especially PTI &amp; https://t.co/6ZjPCgXKLV,neutral
"#ThankYouImranKhan
INSHALLAH this year will prove to be very best year in the history of PAkistan because in this y https://t.co/n9fr2luN1b",positive
@OfficialDGISPR They gave their lives so Nawaz and Zardari the losers can loot the country more and build businesse https://t.co/iy8PSY5NzF,neutral
"Happy New Year 2018 

Welcome to the year of Elections, new change, new govt, new hope with new Prime Minister Imr https://t.co/l3K1ejTDzs",positive
"#dc is such a white, wanna-be version of #nyc ... get the fuck outta here #dupontcircle",negative
"Man of the year
       ""Great Imran  Khan""
 #ThankYouImranKhan",positive
"""Historical Sentence of imran Khan which will be written in Golden words""

#ThankYouImranKhan
#HappyNewYear2018 https://t.co/GdkMc7Bp3h",neutral
@Nas_k27 Happy New Year to u. Hope it's wonderful year to everyone in Pakistan and our mentor Mr Imran Khan. May PT https://t.co/REmiF0r85k,positive
"We have 2 kind of people, 1. those who love Imran Khan and 2. those who hate him. The earlier ask you out of love f https://t.co/5oGpHR52t4",positive
